"","K","Exclusivity","SemanticCoherence","Model"
"85","10","9.86748557425743","-241.818165147412","N-gram"
"86","11","9.90182383482236","-125.739444879093","N-gram"
"87","12","9.90473202162192","-150.954768669484","N-gram"
"88","13","9.91767345537379","-190.22074546339","N-gram"
"89","14","9.90842626979437","-112.09616458663","N-gram"
"90","15","9.92510293049223","-130.577824946813","N-gram"
"91","16","9.82342903756754","-227.257540872093","N-gram"
"92","17","9.91514116541404","-140.928250898318","N-gram"
"93","18","9.78421097001653","-178.083646346349","N-gram"
"94","19","9.90992531947131","-238.456836248494","N-gram"
"95","20","9.7432325899321","-152.711116532866","N-gram"
"96","21","9.9097729685139","-153.485905784318","N-gram"
"97","22","9.88841011143276","-124.101403505741","N-gram"
"98","23","9.47866336419241","-143.563284292187","N-gram"
"99","24","9.63293910192664","-159.877093585464","N-gram"
"100","25","9.6341999920947","-147.420064639986","N-gram"
"101","1","9.88339811708609","-284.607364252092","Sentiment"
"102","2","9.88719070445701","-165.867385785486","Sentiment"
"103","3","9.77409792531924","-252.130923368382","Sentiment"
"104","4","9.929409350188","-212.313850870433","Sentiment"
"105","5","9.88367652361699","-180.98949877319","Sentiment"
"106","6","9.94132012281784","-309.547113828767","Sentiment"
"107","7","9.78455013056047","-214.218972733249","Sentiment"
"108","8","9.65470518164368","-126.735353408274","Sentiment"
"109","9","9.92923840827795","-217.157239907766","Sentiment"
"110","10","9.97021107141444","-289.15421627687","Sentiment"
"111","11","9.79013405516581","-155.019834151094","Sentiment"
"112","12","9.8896615757198","-169.889910433165","Sentiment"
"113","13","9.75804465303332","-242.235927716536","Sentiment"
"114","14","9.88001753273401","-183.072038986417","Sentiment"
"115","15","9.79528875161603","-166.904299386","Sentiment"
"116","16","9.88472655467425","-243.877425029804","Sentiment"
"117","17","9.9392113563958","-185.090653894769","Sentiment"
"118","18","9.86936993335513","-158.217034118383","Sentiment"
"119","19","9.94132544578191","-199.955352791134","Sentiment"
"120","20","9.77241996778025","-172.488109413812","Sentiment"
"121","21","9.93892019105403","-167.996887605197","Sentiment"
"122","22","9.84757871314708","-201.992881956874","Sentiment"
"123","23","9.80679968846013","-168.269287506465","Sentiment"
"124","24","9.90210128632781","-239.672122812117","Sentiment"
"125","25","9.97531909443689","-147.09808887232","Sentiment"
