"","Stemmed","Lemmatised","STM"
"191","becaus","barrier","anna"
"192","becki","base","anni"
"193","becom","basic","annoy"
"194","bed","basically","annual"
"195","bedroom","basis","anoth"
"196","bedsid","bassetlaw","answer"
"197","befor","bath","answeredxxxx"
"198","beforehand","bathroom","ant"
"199","began","battle","antal"
"200","begin","bay","anthoni"
"201","behalf","bear","anti-embol"
"202","behavior","bearable","antibiot"
"203","behaviour","beaumont","antidepress"
"204","behind","beautiful","antimicrobi"
"205","believ","becky","antipsychot"
"206","bell","become","antisept"
"207","belong","bed","anxieti"
"208","bend","bedroom","anxious"
"209","benefici","bedside","anyal"
"210","benefit","beforehand","anybodi"
"211","bereav","begin","anymor"
"212","best","behalf","anyon"
"213","better","behavior","anyth"
"214","beyond","behaviour","anytim"
"215","big","behind","anyuth"
"216","bigger","believe","anyway"
"217","bike","bell","anywher"
"218","bin","belonging","apart"
"219","bipolar","bend","apoint"
"220","birthdai","beneficial","apolog"
"221","biscuit","benefit","apologis"
"222","bit","bereavement","app"
"223","blackmail","better","appal"
"224","blame","beyond","appar"
"225","blank","big","appear"
"226","blanket","bike","appetit"
"227","bleed","bin","appetitis"
"228","bless","bipolar","appl"
"229","blind","birthday","appli"
"230","block","biscuit","applic"
"231","blood","bite","appoint"
"232","board","blackmail","appointmentassess"
"233","bodi","blame","appointmentdiscuss"
"234","boi","blank","apprais"
"235","bond","blanket","appreci"
"236","book","bleed","apprehens"
"237","boost","bless","approach"
"238","bore","blind","appropr"
"239","boredom","block","appropri"
"240","born","blood","appropriatley"
"241","bother","blow","approv"
"242","bottom","board","approx"
"243","bowl","body","approxim"
"244","box","bond","appsphon"
"245","bradgat","book","appt"
"246","brain","boost","apriens"
"247","break","bore","april"
"248","breakfast","boredom","apron"
"249","breast","bother","apt"
"250","breastfeed","bottom","are"
"251","breath","bowl","area"
"252","bright","box","aren’t"
"253","brill","boy","arent"
"254","brilliant","bradgate","argument"
"255","brilliantli","brain","aripiprazol"
"256","brilliantnurs","break","aris"
"257","bring","breakfast","arm"
"258","broke","breast","armchair"
"259","broken","breastfeed","aros"
"260","brother","breathe","around"
"261","brought","bright","around”can"
"262","brunch","brill","arrang"
"263","budget","brilliant","arrest"
"264","bui","brilliantly","arriv"
"265","build","brilliantnursing","ars"
"266","built","bring","art"
"267","bulli","brother","arthriti"
"268","bundl","brunch","artist"
"269","bungalow","budget","asap"
"270","burden","build","asapsrn"
"271","burn","bully","ascet"
"272","busi","bundle","asd"
"273","button","bungalow","ash"
"274","buzzer","burden","asham"
"275","c","burn","ashbi"
"276","cahm","busy","ashley"
"277","cake","button","ask"
"278","call","buy","askedquest"
"279","caller","buzzer","asleep"
"280","calm","c","asorb"
"281","calmli","cahms","aspect"
"282","calori","cake","assault"
"283","came","call","assert"
"284","camh","caller","asses"
"285","cancel","calm","assess"
"286","cancer","calmly","assessor"
"287","cannula","calorie","asset"
"288","cant","camhs","assist"
"289","capabl","cancel","asst"
"290","carb","cancer","assum"
"291","card","cannula","assumpt"
"292","cardiac","cant","assur"
"293","carefulli","capable","aston"
"294","carer","card","ate"
"295","carethei","cardiac","atent"
"296","carlton","careful","atleft"
"297","carnt","carefully","atm"
"298","carpet","careing","atmospher"
"299","carri","carer","attach"
"300","case","carethey","attack"
"301","cataton","carlton","attempt"
"302","cater","carnt","attend"
"303","catherin","carpet","attent"
"304","cathet","carry","attentivefriend"
"305","catheteris","case","attentiveveri"
"306","caus","catatonic","attitud"
"307","cbt","cater","attribut"
"308","centr","caterer","atttent"
"309","certain","catherine","attud"
"310","certainli","catheter","audiologist"
"311","chain","catheterise","august"
"312","chair","cause","aunt"
