"","Stemmed","Lemmatised","STM"
"925","hit","happiness","data"
"926","hogarth","happy","date"
"927","hold","hard","daughter"
"928","holidai","hare","daunt"
"929","holist","harm","dave"
"930","home","hassle","davi"
"931","homework","hatch","david"
"932","honest","hate","dawn"
"933","honesti","havent","day"
"934","honestli","hayley","dayacross"
"935","hope","hca","daycar"
"936","hopefulli","hcas","daynight"
"937","horizon","head","daytim"
"938","horribl","headache","de-escal"
"939","hospic","heal","deaden"
"940","hospit","health","deadlin"
"941","hospitalis","healthcare","deaf"
"942","hot","healthy","deal"
"943","hotel","hear","dealt"
"944","hour","heart","dean"
"945","hous","heartfelt","dear"
"946","housekeep","heat","death"
"947","howev","heath","debbi"
"948","hr","heidi","dec"
"949","huge","height","decad"
"950","human","hello","decaf"
"951","humili","help","deceiv"
"952","humour","helpfull","decenc"
"953","hurri","helpfully","decends"
"954","hurt","hence","decent"
"955","husband","hero","decid"
"956","hv","hes","deciph"
"957","hydrat","hesitate","decis"
"958","ic","hide","declin"
"959","icu","high","decor"
"960","id","highbury","décor"
"961","idea","highcroft","decorum"
"962","ideal","highly","decreas"
"963","identifi","hinckley","dedic"
"964","ignor","hip","deem"
"965","ill","history","deep"
"966","im","hit","deeper"
"967","imag","hogarth","deepli"
"968","imagin","hold","defens"
"969","imbroglio","holiday","defer"
"970","immeasur","holistic","definateley"
"971","immedi","home","definentley"
"972","immens","homework","definetley"
"973","impact","honest","definit"
"974","impecc","honestly","dehumanis"
"975","implement","honesty","dehydr"
"976","import","hope","delay"
"977","imposs","hopeful","delia"
"978","impress","hopefully","delight"
"979","improv","horizon","deliv"
"980","inabl","horrible","deliver"
"981","inadequ","hospice","deliveri"
"982","inappropri","hospital","delt"
"983","incid","hospitality","demand"
"984","includ","hot","demeanour"
"985","inclus","hotel","dementia"
"986","incompet","hour","demenur"
"987","inconsist","house","demi"
"988","incontin","however","demonstr"
"989","incorrect","hr","depart"
"990","increas","huge","depend"
"991","incred","human","deport"
"992","incredibli","humiliate","depot"
"993","inde","humour","depress"
"994","independ","hurry","dept"
"995","individu","hurt","depth"
"996","infect","husband","describ"
"997","info","hv","deserv"
"998","inform","hydrate","design"
"999","infus","ice","desir"
"1000","ingredi","icu","desk"
"1001","initi","id","desmond"
"1002","inject","idea","despair"
"1003","injuri","ideal","desper"
"1004","inpati","ideally","despit"
"1005","inport","identify","destroy"
"1006","input","ignore","detail"
"1007","inr","ill","detent"
"1008","insert","illness","deterior"
"1009","insight","im","determin"
"1010","inspir","image","detox"
"1011","instal","imagine","detriment"
"1012","instant","imbroglio","develop"
"1013","instead","immeasurably","devic"
"1014","instil","immediate","devil"
"1015","instruct","immediately","devis"
"1016","instructor","immensely","dexa"
"1017","intak","impact","diabet"
"1018","integr","impeccable","diabol"
"1019","intellig","implement","diagnos"
"1020","intend","importance","diagnosi"
"1021","intens","important","diagnossi"
"1022","intent","impossible","diagnost"
"1023","interact","impress","dialogu"
"1024","interest","impression","diamond"
"1025","interfac","impressive","dian"
"1026","interfer","improve","diann"
"1027","intermitt","improvement","diazepam"
"1028","internet","inability","diciplin"
"1029","interperson","inadequate","dictatorship"
"1030","intervent","inappropriate","didand"
"1031","interview","incident","didn’t"
"1032","intimid","include","didnt"
"1033","introduc","inclusion","die"
"1034","introduct","inconsistency","diet"
"1035","invalid","incontinence","dietician"
"1036","invalu","incorrect","diff"
"1037","investig","increase","differ"
"1038","invit","incredible","difficult"
"1039","involv","incredibly","difficulti"
"1040","iri","indeed","dignifi"
"1041","isnt","independent","digniti"
"1042","isol","individual","dilig"
"1043","issu","infection","dine"
"1044","item","info","dingi"
"1045","iv","inform","dinner"
"1046","jab","informal","direct"
"1047","jail","information","director"
"1048","jame","informative","dirti"
"1049","jan","infusion","disabl"
"1050","jane","ingredient","disappear"
"1051","januari","initial","disappoint"
"1052","jen","initially","disassoci"
"1053","jo","initiate","disast"
"1054","job","injection","disastr"
"1055","jobthi","injury","discharg"
"1056","joe","inpatient","disciplinari"
"1057","john","input","discomfort"
"1058","joi","inr","discontinu"
"1059","join","insert","discov"
"1060","joint","insight","discreet"
"1061","joke","inspire","discrimin"
"1062","jolli","install","discuss"
"1063","journei","instant","diseas"
"1064","judg","instead","disfunct"
"1065","judgement","instill","disguis"
"1066","judgment","instruction","disgust"
"1067","jug","instructor","disjoint"
"1068","juli","intake","dismiss"
"1069","junior","intelligence","disord"
"1070","just","intend","disorient"
"1071","karen","intention","display"
"1072","kati","intently","disregard"
"1073","kayleigh","interact","disrespect"
"1074","keep","interaction","disrupt"
"1075","kei","interactive","dissapoint"
"1076","kelli","interest","distanc"
"1077","kept","interface","distract"
"1078","kerri","interfere","distress"
"1079","keywork","internet","district"
"1080","kid","interpersonal","disturb"
"1081","kind","intervention","divers"
"1082","kindli","interview","divid"
"1083","king","intimidate","divulg"
"1084","kingslei","introduce","dizzi"
"1085","kirsti","introduction","dna"
"1086","kitchen","invalidate","dns"
"1087","knee","invaluable","doc"
"1088","knew","investigate","doctor"
"1089","knit","investigation","doesn’t"
"1090","know","invite","doesnt"
"1091","knowledg","involve","dog"
"1092","known","involvement","domest"
"1093","l","iris","domesticstb"
"1094","label","isnt","domin"
"1095","lack","isolate","domino"
"1096","ladi","isolation","don’t"
"1097","lai","issue","doncast"
"1098","land","item","done"
"1099","languag","ive","donkey"
"1100","larg","jab","dont"
"1101","last","jail","door"
"1102","late","james","dopamin"
"1103","later","jan","dosag"
"1104","laugh","jane","dose"
"1105","laundri","january","dosent"
"1106","laura","jen","dot"
"1107","law","jo","doubl"
"1108","lead","job","doubt"
"1109","leader","jobthis","down"
"1110","leaflet","joe","downfal"
"1111","leak","john","download"
"1112","learn","join","downstair"
"1113","learnt","joint","doze"
"1114","least","joke","dpm"
"1115","leav","jolly","drag"
"1116","led","journey","drain"
"1117","left","joy","drama"
"1118","leg","judge","dramat"
"1119","lei","judgement","drastic"
"1120","leicest","judgemental","draw"
"1121","length","judgmental","drawer"
"1122","lengthi","jug","drc"
"1123","leslei","julie","dread"
"1124","less","junior","dress"
"1125","lesson","just","dri"
"1126","let","karen","drink"
"1127","letter","katie","drip"
"1128","level","kayleigh","drive"
"1129","lgh","keep","driver"
"1130","liais","kelly","drop"
"1131","lias","kerry","drs"
"1132","lie","key","drscofield"
"1133","life","keyworker","drug"
"1134","lifestyl","kid","dti"
"1135","lifetim","kind","due"
"1136","lift","kindly","duel"
"1137","light","kindness","duti"
"1138","like","king","dvd"
"1139","limit","kingsley","dvds"
"1140","linda","kirsty","dysfunct"
"1141","line","kitchen","dyspraxia"
"1142","link","knee","e-learn"
"1143","lisa","knit","eager"
"1144","list","know","ealier"
"1145","listen","knowledgable","ear"
"1146","listend","knowledge","earli"
"1147","liter","knowledgeable","earlier"
"1148","littl","l","earn"
"1149","live","label","earplug"
"1150","lmht","lack","earth"
"1151","load","lady","eas"
"1152","local","land","easer"
"1153","locat","language","easeveri"
"1154","lock","large","easi"
"1155","lockdown","last","easier"
"1156","login","late","easiest"
"1157","lol","laugh","easili"
"1158","lone","laundry","east"
"1159","long","laura","eat"
"1160","longer","law","eccentr"
"1161","look","lead","echocardiogram"
"1162","loop","leader","edg"
"1163","loro","leaflet","educ"
"1164","lose","leak","edward"
"1165","loss","learn","eed"
"1166","lost","leave","effect"
"1167","lot","leg","effici"
"1168","loud","leicester","effort"
"1169","loughborough","length","effortless"
"1170","louis","lengthy","egg"
"1171","louisa","lesley","eileen"
"1172","loung","less","either"
"1173","love","lesson","elain"
"1174","lovei","let","elast"
"1175","lovlei","letter","elder"
"1176","low","level","eleanor"
"1177","lower","ley","electr"
"1178","lri","lgh","electron"
"1179","luci","liaise","element"
"1180","lucki","lie","elissa"
"1181","luckili","life","elizabeth"
"1182","luke","lifestyle","ella"
"1183","lunch","lifetime","elliot"
"1184","lynda","lift","els"
"1185","lynn","light","elsewher"
"1186","m","like","emaci"
"1187","machin","likely","email"
"1188","made","limit","emaillett"
"1189","mai","linda","embarrass"
"1190","main","line","emdr"
"1191","mainli","link","emerg"
"1192","maintain","lisa","emma"
"1193","mainten","list","emmaphysio"
"1194","major","listen","emot"
"1195","make","listener","empath"
"1196","male","literally","empathet"
"1197","man","little","empatheticprofessionalcarri"
"1198","manag","live","empathi"
"1199","mandala","load","emphasis"
"1200","mandi","local","emphat"
"1201","manger","locally","employ"
"1202","mani","locate","employe"
"1203","manipul","location","empow"
"1204","manner","lock","empti"
"1205","map","lockdown","en-suit"
"1206","march","login","enabl"
"1207","mari","lol","encount"
"1208","mark","lonely","encourag"
"1209","marvel","long","end"
"1210","mask","look","end--lif"
"1211","massiv","loop","endeavour"
"1212","match","loros","endevor"
"1213","mate","lose","endless"
"1214","materi","loss","endosopi"
"1215","mathew","lot","endur"
"1216","matron","loud","enforc"
"1217","matt","loughborough","engag"
"1218","matter","louisa","english"
"1219","matthew","louise","enjoy"
"1220","mattress","lounge","enlighten"
"1221","mayb","love","enorm"
"1222","mbt","lovely","enough"
"1223","meal","lovey","enquir"
"1224","mean","lovley","enquiri"
"1225","meant","low","ensur"
"1226","measur","lri","enter"
"1227","mechan","luckily","entertain"
"1228","med","lucky","enthusiast"
"1229","medal","lucy","entir"
"1230","medic","lukes","entitl"
"1231","medicin","lunch","entrain"
"1232","meet","lynda","entranc"
"1233","melton","lynn","entri"
"1234","member","machine","enviro"
"1235","memori","main","environ"
"1236","men","mainly","environment"
"1237","mental","maintain","epidem"
"1238","mention","maintenance","epilepsi"
"1239","mentor","majority","episod"
"1240","menu","make","equal"
"1241","messag","male","equip"
"1242","met","man","equival"
"1243","method","manage","error"
"1244","mh","management","escal"
"1245","michael","manager","escap"
"1246","michel","mandala","escort"
"1247","microwav","mandy","esp"
"1248","middl","manger","especi"
"1249","midwif","manner","essenti"
"1250","might","mannered","establish"
"1251","mild","many","estim"
"1252","mile","map","etc"
"1253","milk","march","ethic"
"1254","millbrook","marie","even"
"1255","million","mark","event"
"1256","min","marvellous","eventu"
"1257","mind","mask","ever"
"1258","mine","massive","everbodi"
"1259","minimum","match","everi"
"1260","minor","mate","everth"
"1261","minut","material","everybodi"
"1262","miracl","mathew","everyday"
"1263","mirror","matron","everyon"
"1264","miss","matt","everyone’"
"1265","mistak","matter","everyth"
"1266","misunderstand","mattress","everythingtruli"
"1267","misus","may","everywher"
"1268","mix","maybe","evid"
"1269","moan","mbt","evidenceremind"
"1270","mobil","meal","eviron"
"1271","model","mean","ex-bodi"
"1272","modern","measure","exacerb"
"1273","moment","mechanism","exact"
"1274","mondai","med","exactley"
"1275","monei","medal","examin"
"1276","monitor","medical","exampl"
"1277","month","medication","exceed"
"1278","monthli","medicine","excel"
"1279","mood","meds","excell"
"1280","moral","meet","except"
"1281","moribund","meeting","excercis"
"1282","morn","melton","exceris"
"1283","morri","member","excess"
"1284","mostli","memory","excit"
"1285","mother","mental","excus"
"1286","motiv","mentally","exe"
"1287","mouth","mention","execut"
"1288","move","mentor","exel"
"1289","movi","menu","exemplari"
"1290","mr","message","exercis"
"1291","mri","method","exersic"
"1292","msk","mh","exersis"
"1293","mth","michael","exersise"
"1294","much","michelle","exhaust"
"1295","multipl","microwave","exist"
"1296","mum","middle","expect"
"1297","murder","midwife","expereinc"
"1298","muscl","mild","experi"
"1299","music","mile","experienc"
"1300","must","milk","expert"
"1301","n","millbrook","expertis"
"1302","na","million","expir"
"1303","nail","min","explain"
"1304","name","mind","explaind"
"1305","nasti","mindfulness","explan"
"1306","natasha","mine","explanatori"
"1307","nation","minimum","explicit"
"1308","natur","minor","explor"
"1309","navig","minute","express"
"1310","nd","miracle","exspect"
"1311","near","mirror","extend"
"1312","nearbi","miss","extens"
"1313","nearer","mistake","extent"
"1314","nearli","misunderstand","extern"
"1315","necessari","misuse","extra"
"1316","neck","mix","extract"
"1317","need","moan","extream"
"1318","needl","mobile","extrem"
"1319","neg","mobility","extremley"
"1320","neglect","model","extrm"
"1321","neil","modern","eye"
"1322","neither","moment","eyelid"
"1323","neonat","monday","fab"
"1324","nerv","money","fabul"
"1325","nervou","monitor","face"
"1326","never","month","face--fac"
"1327","new","monthly","face-fac"
"1328","newspap","mood","facetim"
"1329","next","morale","facil"
"1330","nh","moribund","facilit"
"1331","nice","morning","fact"
"1332","nicer","morris","factor"
"1333","nicest","mostly","factual"
"1334","nicki","mother","fail"
"1335","night","motivate","failur"
"1336","nixon","mouth","faint"
"1337","nmc","move","fair"
"1338","nobodi","movie","faith"
"1339","nois","mr","fajita"
"1340","noisi","mri","fake"
"1341","nomin","mrs","fall"
"1342","non","ms","fallen"
"1343","none","msk","fam"
"1344","nonexist","much","famili"
"1345","nope","multiple","familiar"
"1346","normal","mum","fan"
"1347","notch","murderer","fantasat"
"1348","note","muscle","fantast"
"1349","noth","music","fantasticth"
"1350","nothimg","must","far"
"1351","notic","n","fare"
"1352","nottingham","na","fashion"
"1353","now","nail","fast"
"1354","nowher","name","faster"
"1355","nspu","nasty","fat"
"1356","numb","natasha","father"
"1357","number","national","fathergrandfath"
"1358","numer","nature","fatigu"
"1359","nurs","navigate","fault"
"1360","nurseri","nd","faulti"
"1361","nutrit","near","faultless"
"1362","oakham","nearby","favourit"
"1363","obviou","nearly","fax"
"1364","obvious","necessary","fay"
"1365","oc","neck","fccc"
"1366","occas","need","fear"
"1367","occasion","needle","feb"
"1368","occup","negative","fed"
"1369","occupi","neglect","feed"
"1370","occur","neil","feedback"
"1371","occurr","neither","feel"
"1372","odd","nerve","feet"
"1373","offer","nervous","felix"
"1374","offic","never","fell"
"1375","offici","new","fellow"
"1376","often","newspaper","felt"
"1377","oh","next","femal"
"1378","ok","nhs","fernwood"
"1379","okai","nice","fifth"
"1380","old","nicely","figur"
"1381","older","nicki","file"
"1382","onc","nicky","fill"
"1383","ongo","night","film"
"1384","onli","nixon","filter"
"1385","onlin","nmc","final"
"1386","onto","nobody","finalis"
"1387","op","noise","financ"
"1388","open","noisy","financi"
"1389","openli","nominate","find"
"1390","oper","non","fine"
"1391","opinion","none","fingernail"
"1392","opportun","nonexistent","finish"
"1393","opposit","normal","fire"
"1394","optimist","notch","firm"
"1395","option","note","first"
"1396","order","nothimg","fish"
"1397","organis","notice","fit"
"1398","ot","nottingham","fitter"
"1399","otherwis","now","five"
"1400","outcom","nowhere","fix"
"1401","outpati","nspu","flannel"
"1402","outsid","numb","flashback"
"1403","outstand","number","flav"
"1404","overal","numerous","flex"
"1405","overcom","nurse","flexabl"
"1406","overli","nursery","flexibl"
"1407","overnight","nutrition","fli"
"1408","overstretch","oakham","flimsi"
"1409","overwhelm","obvious","flip"
"1410","ow","obviously","flipflow"
"1411","p","oc","flirtati"
"1412","pa","occasion","floor"
"1413","pace","occasionally","fluid"
"1414","pack","occupational","fluoxetin"
"1415","packag","occupy","foam"
"1416","pad","occur","fob"
"1417","page","occurrence","focus"
"1418","pai","odd","focuss"
"1419","paid","offer","folder"
"1420","pain","office","follow"
"1421","paint","officer","follow-"
"1422","palli","official","fom"
"1423","pandem","often","food"
"1424","panic","oh","foodmajor"
"1425","paper","okay","foodstyl"
"1426","paperwork","old","foot"
"1427","parad","one","for"
"1428","paramed","ongoing","forc"
"1429","parent","online","forcibl"
"1430","parentscar","onto","forev"
"1431","park","op","forewarn"
"1432","part","open","forget"
"1433","particip","opener","forgot"
"1434","particular","openly","forgotten"
"1435","particularli","operate","fork"
"1436","partner","operation","form"
"1437","pass","opinion","former"
"1438","passion","opportunity","fortnight"
"1439","past","opposite","fortun"
"1440","pathwai","optimistic","forum"
"1441","patienc","option","forward"
"1442","patient","order","foster"
"1443","patricia","organisation","found"
"1444","patronis","organise","four"
"1445","pattern","ot","fractur"
"1446","paul","otherwise","frame"
"1447","peac","ots","framework"
"1448","peer","outcome","fran"
"1449","pelvi","outpatient","fred"
"1450","peopl","outside","free"
"1451","per","outstanding","freeli"
"1452","perfect","overall","freepost"
"1453","perfectli","overcome","freeproblem"
"1454","perhap","overly","freez"
"1455","period","overnight","frequenc"
"1456","perman","overstretch","frequent"
"1457","perscrib","overwhelm","fresh"
"1458","person","owe","fri"
"1459","personalis","p","friday"
"1460","personnel","pa","fridg"
"1461","perspect","pace","friend"
"1462","peter","pack","friendi"
"1463","peterborough","package","friendli"
"1464","pf","pad","friendli"
"1465","pharmaci","page","friendlyapproach"
"1466","phil","pain","friendlycomfort"
"1467","phlebotomist","painful","friendlyorganis"
"1468","phone","paint","frienldi"
"1469","physic","palliative","frighten"
"1470","physio","pandemic","from"
"1471","physiotherapi","panic","front"
"1472","physiotherapist","paper","frozen"
"1473","pick","paperwork","fruit"
"1474","pictur","parade","frustrat"
"1475","piec","paramedic","fulfil"
"1476","pier","parent","full"
"1477","pierzchniak","parentscarers","fulli"
"1478","pilat","park","fun"
"1479","piti","part","function"
"1480","place","particular","fund"
"1481","plai","particularly","funni"
"1482","plan","partner","furthermor"
"1483","plate","pass","fusion"
"1484","pleas","past","fuss"
"1485","pleasant","pathway","fussi"
"1486","pleasantli","patience","futur"
"1487","pleasent","patient","futurehappi"
"1488","pleasur","patricia","gabbita"
"1489","plenti","patronise","gail"
"1490","plu","pattern","gain"
"1491","plug","paul","game"
"1492","pneumonia","pay","gap"
"1493","podiatr","peace","garden"
"1494","podiatri","peer","garth"
"1495","podiatrist","pelvis","gartre"
"1496","poignant","people","gate"
"1497","point","per","gave"
"1498","polic","perfect","gavin"
"1499","polici","perfection","gaynor"
"1500","polit","perfectly","gel"
"1501","pool","perhaps","gender"
"1502","poor","period","general"
"1503","poorli","permanent","generat"
"1504","porter","person","generic"
"1505","portion","personable","generous"
"1506","posit","personal","gentl"
"1507","possibl","personalise","gentleman"
"1508","possibli","personality","genuin"
"1509","post","personally","georg"
"1510","postop","personnel","georgeanna"
"1511","potato","perspective","get"
"1512","potenti","peter","gettng"
"1513","power","peterborough","ggh"
"1514","ppe","pf","ghost"
"1515","practic","pharmacy","giliv"
"1516","practition","phil","gillev"
"1517","pragmat","phlebotomist","gilliv"
"1518","prais","phone","girl"
"1519","pre","physical","girl<U+0001F642>"
"1520","prearrang","physically","give"
"1521","preciou","physio","given"
"1522","precis","physiotherapist","giver"
"1523","prefer","physiotherapy","glad"
"1524","pregnanc","pick","glass"
"1525","preoper","picture","glenfield"
"1526","prep","piece","global"
"1527","prepar","pier","glove"
"1528","prescrib","pierzchniak","gluten"
"1529","prescript","pilates","goal"
"1530","present","pity","god"
"1531","press","place","god-send"
"1532","pressur","plan","goe"
"1533","pretend","plate","gold"
"1534","pretti","play","gone"
"1535","prevent","pleasant","gonna"
"1536","previou","pleasantly","goo"
"1537","previous","please","good"
"1538","primari","pleasent","good-xxxx"
"1539","print","pleasurable","goodbad"
"1540","prior","pleasure","googl"
"1541","prioriti","plentiful","gordon"
"1542","prison","plenty","got"
"1543","privaci","plug","gotten"
"1544","privat","plus","gouranga"
"1545","proactiv","pneumonia","govern"
"1546","probabl","podiatric","govt"
"1547","problem","podiatrist","gps"
"1548","proce","podiatry","grab"
"1549","procedur","poignant","grace"
"1550","proceed","point","gradual"
"1551","process","police","graham"
"1552","product","policy","grand"
"1553","profesion","polite","grandad"
"1554","profess","politeness","granddaught"
"1555","profession","pool","grandma"
"1556","professor","poor","grandson"
"1557","proffesion","poorly","grang"
"1558","profici","porter","grasp"
"1559","program","portion","grate"
"1560","programm","position","gratitud"
"1561","progress","positive","great"
"1562","project","possible","greater"
"1563","promis","possibly","greatkept"
"1564","promot","post","greatley"
"1565","prompt","postop","green"
"1566","promptli","potentially","greet"
"1567","proper","power","grew"
"1568","properli","ppe","grey"
"1569","properti","practical","gross"
"1570","propos","practice","ground"
"1571","protect","practitioner","group"
"1572","protocol","pragmatic","grow"
"1573","proud","praise","growth"
"1574","prove","pre","grubbi"
"1575","provid","prearrange","grumbl"
"1576","provis","precious","grumpi"
"1577","psychiatr","precise","guard"
"1578","psychiatrist","prefer","guess"
"1579","psychologi","preferable","guest"
"1580","psychologist","pregnancy","guid"
"1581","pt","prep","guidanc"
"1582","ptsd","prepare","guidelin"
"1583","public","prescribe","guidenc"
"1584","pull","prescription","gujarati"
"1585","punctual","present","guy"
"1586","purpos","presentation","gwen"
"1587","push","press","gym"
"1588","put","pressure","habbit"
"1589","qmc","pretend","habit"
"1590","qualifi","pretty","hadnt"
"1591","qualiti","prevent","hair"
"1592","queen","prevention","hairdress"
"1593","queri","previous","half"
"1594","question","previously","halv"
"1595","questionnair","primary","ham"
"1596","queue","print","hand"
"1597","quick","prior","handcuf"
"1598","quicker","priority","handcuff"
"1599","quickli","prison","handi"
"1600","quiet","prisoner","handl"
"1601","quieter","privacy","handler"
"1602","quit","private","handout"
"1603","rachel","proactive","handov"
"1604","racial","probably","hang"
"1605","radio","problem","hannah"
"1606","rai","procedure","hapa"
"1607","rail","proceed","happ"
"1608","rais","process","happen"
"1609","rampton","product","happi"
"1610","ran","profesional","happier"
"1611","rang","profession","happili"
"1612","rapport","professional","happy”"
"1613","rare","professionalism","harass"
"1614","rate","professionally","harb"
"1615","rather","professor","harborough"
"1616","re","proffesional","hard"
"1617","reach","proficient","hard-press"
"1618","react","program","harder"
"1619","read","programme","hardest"
"1620","readi","progress","hardwork"
"1621","real","project","hare"
"1622","realis","promise","harm"
"1623","realist","promote","harr"
"1624","realiti","prompt","hart"
"1625","realiz","promptly","harvey"
"1626","realli","proper","hasnt"
"1627","reason","properly","hassl"
"1628","reassur","property","hatch"
"1629","receiv","propose","hate"
"1630","recent","protect","have"
"1631","recept","protection","haven"
"1632","receptionist","protocol","haven’t"
"1633","reciev","proud","havent"
"1634","recipi","prove","haw"
"1635","recognis","provide","hay"
"1636","recomend","provider","hayley"
"1637","recommend","provision","hca"
"1638","record","ps","hca’"
"1639","recov","psychiatric","hcas"
"1640","recoveri","psychiatrist","hcpp"
"1641","recruit","psychologist","hcw"
"1642","red","psychology","hdu"
"1643","redact","pt","he’"
"1644","reduc","ptsd","head"
"1645","ref","public","head-head"
"1646","refer","pull","headach"
"1647","referr","punctual","headless"
"1648","reflect","purpose","headphon"
"1649","refresh","push","heal"
"1650","refus","put","health"
"1651","regard","putting","healthcar"
"1652","regular","qmc","healthi"
"1653","regularli","qualify","healthier"
"1654","rehab","quality","healthsubst"
"1655","rehabilit","queen","heap"
"1656","reinforc","query","hear"
"1657","reject","question","heard"
"1658","rel","questionnaire","heart"
"1659","relai","queue","heartbeat"
"1660","relaps","quick","heartfelt"
"1661","relat","quickly","heat"
"1662","relationship","quiet","heath"
"1663","relax","quite","heavili"
"1664","releas","rachel","hectic"
"1665","relev","racially","heidi"
"1666","reli","radio","height"
"1667","reliabl","rail","held"
"1668","relief","raise","hello"
"1669","reliev","rampton","help"
"1670","remain","range","helpersnurs"
"1671","rememb","rapport","helpful"
"1672","remind","rare","helpful<U+0001F44D>"
"1673","remot","rate","helpfulfriend"
"1674","remov","rather","helpfulknowledg"
"1675","reoccurr","ray","helpfullyand"
"1676","repair","re","helpfulnoth"
"1677","repeat","reach","helpfulsorri"
"1678","replac","react","helpfulth"
"1679","repli","read","hen"
"1680","report","ready","henc"
"1681","request","real","hens"
"1682","requir","realise","hepat"
"1683","research","realistic","hero"
"1684","resembl","reality","heroestak"
"1685","resid","realize","hes"
"1686","resolv","really","hesit"
"1687","resourc","reason","hflc"
"1688","respect","reasonable","hidden"
"1689","respiratori","reassurance","hide"
"1690","respond","reassure","high"
"1691","respons","receive","high-risk"
"1692","rest","recently","highburi"
"1693","restor","reception","highcroft"
"1694","restraint","receptionist","higher"
"1695","restrict","receptive","highest"
"1696","result","recieved","highlight"
"1697","retir","recipies","hilari"
"1698","return","recognise","hillari"
"1699","revers","recomend","hinckley"
"1700","review","recommend","hint"
"1701","reward","recommendation","hip"
"1702","richard","record","histori"
"1703","rid","recorder","histroy"
"1704","right","recover","hit"
"1705","ring","recovery","hmmm"
"1706","rise","recruitment","hmmmm"
"1707","risk","red","hmp"
"1708","road","redact","hns"
"1709","rob","reduce","hobbi"
"1710","roger","ref","hogarth"
"1711","role","refer","hoist"
"1712","roll","referral","hold"
"1713","room","referrer","holiday"
"1714","rough","reflect","holist"
"1715","round","reflection","home"
"1716","rout","refreshment","homecpn"
"1717","routin","refuse","homethi"
"1718","rowdi","regard","homework"
"1719","royal","regular","honest"
"1720","rrlp","regularly","honesti"
"1721","rubbish","rehab","hoop"
"1722","rude","rehabilitation","hope"
"1723","rule","reinforce","horizon"
"1724","run","relapse","horrend"
"1725","rush","relatable","horribl"
"1726","ryan","relate","horrif"
"1727","sad","relationship","horrifi"
"1728","sadli","relative","horticultur"
"1729","safe","relax","hosieri"
"1730","safeguard","relaxation","hospic"
"1731","safeti","relay","hospit"
"1732","sai","release","hospitalis"
"1733","said","relevant","hospltal"
"1734","salad","reliable","hosptial"
"1735","salt","relief","hostess"
"1736","sam","relieve","hot"
"1737","sandra","rely","hotel"
"1738","sandwich","remain","hotter"
"1739","sarah","remember","hour"
"1740","sat","remind","hous"
"1741","satisfactori","reminder","housekeep"
"1742","satisfi","remote","housework"
"1743","saturdai","remove","how"
"1744","save","reoccurrence","howev"
"1745","saver","repair","hrs"
"1746","saw","repeat","hub"
"1747","scale","replace","hug"
"1748","scan","reply","huge"
"1749","scare","report","hugh"
"1750","scari","request","human"
"1751","schedul","require","humili"
"1752","schofield","requirement","humor"
"1753","school","research","humour"
"1754","scientif","resemble","hung"
"1755","scofield","resident","hurri"
"1756","scott","resolve","hurt"
"1757","screen","resource","hus"
"1758","sd","respect","husband"
"1759","seamless","respectful","husband’"
"1760","seat","respiratory","hustl"
"1761","seclus","respond","hydrat"
"1762","second","response","hydro"
"1763","secondari","responsibility","hygien"
"1764","section","responsive","hyperacusi"
"1765","secur","rest","ibuprofen"
"1766","sedat","restore","ice"
"1767","see","restraint","icu"
"1768","seek","restriction","ide"
"1769","seem","result","idea"
"1770","seen","retire","ideal"
"1771","select","return","ideastip"
"1772","self","reverse","identifi"
"1773","selfharm","review","idiot"
"1774","send","reward","ignor"
"1775","sens","richard","ignoredshout"
"1776","sensit","rid","ihtt"
"1777","sensori","right","ihu"
"1778","sent","ring","iithink"
"1779","sentenc","rise","ill"
"1780","separ","risk","illeg"
"1781","sepsi","road","illustr"
"1782","seriou","rob","imag"
"1783","serious","roger","imagin"
"1784","serv","role","imbroglio"
"1785","servic","roll","imedi"
"1786","session","room","immeasur"
"1787","set","rough","immedi"
"1788","settl","round","immedietley"
"1789","sever","route","immens"
"1790","shake","routine","immobil"
"1791","shambl","rowdy","immun"
"1792","shame","royal","immunotherapi"
"1793","shape","rrlp","impact"
"1794","share","rubbish","impair"
"1795","sharon","rude","impecc"
"1796","sheet","rule","imperson"
"1797","shield","run","implement"
"1798","shift","rush","impli"
"1799","shock","ryan","impolit"
"1800","shop","sad","import"
"1801","short","sadly","imposs"
"1802","shortag","safe","impress"
"1803","shorter","safeguard","improv"
"1804","shoulder","safety","improveal"
"1805","shout","salad","inabl"
"1806","show","salt","inadequ"
"1807","shower","sam","inappropri"
"1808","shown","sandra","inch"
"1809","shut","sandwich","incid"
"1810","sick","sarah","includ"
"1811","side","satisfactory","inclus"
"1812","sideroom","satisfy","incompet"
"1813","sign","saturday","inconsist"
"1814","signag","save","incontin"
"1815","significantli","saver","inconveni"
"1816","signpost","say","incorrect"
"1817","silenc","scale","increas"
"1818","sill","scan","incred"
"1819","silli","scare","inde"
"1820","silver","scary","indefinit"
"1821","similar","schedule","independ"
"1822","simon","schofield","indic"
"1823","simpl","school","indiffer"
"1824","simpli","scientific","individu"
"1825","sinc","scofield","individualis"
"1826","sincer","scott","indoor"
"1827","sing","screen","induc"
"1828","singl","sds","induct"
"1829","sister","seamless","infact"
"1830","sit","seat","infant"
"1831","situat","seclusion","infect"
"1832","six","secondary","infent"
"1833","size","section","inflict"
"1834","skill","secure","influenc"
